"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Robert Bob  Lee Poole","SWP830001108","PROCESSING","Inactive","TBD","502 West Market Street","Portland","Sumner","AUG-10-1992","1247","SWP830001108","36.579566","-86.526162","-","-","TIRE PROCESSING","53777"
"Browns Warehouse Tires","SWP830001112","PROCESSING","Inactive","TBD","803 Water St","Hendersonville","Sumner","SEP-22-1992","1248","SWP830001112","36.391611","-86.453111","-","-","TIRE PROCESSING","53500"
"Resource Authority In Sumner County","SWP830001229","COMPOSTING","Inactive","RESOURCE AUTHORITY IN SUMNER COUNTY","1501 Lock 4 Road","Gallatin","Sumner","JAN-02-1996","1249","SWP830001229","36.335194","-86.462698","37066","-","COMPOSTING MULCHING TUB GRINDER","4994"
"T-Roll Disposal, Llc","SWP830001342","PROCESSING","Inactive","T-ROLL DISPOSAL, LLC","Long Road","Goodlettsville","Sumner","JAN-14-2003","1250","SWP830001342","36.351779","-86.7015","37072","-","-","53505"
"City Of Millersville Recycling Processing Facility","SWP830001378","PROCESSING","Active","CITY OF MILLERSVILLE","1246 Louisville Highway","Millersville","Sumner","OCT-21-2004","1251","SWP830001378","36.37842","-86.705153","37072","-","-","2122"
"Military Waste Mgmt","SWP840001057","PROCESSING","Inactive","TBD","Munford Road","Munford","Tipton","APR-03-1991","1253","SWP840001057","35.435927","-89.818408","-","-","RECYCLING BALER/MATERIALS SEPARAT'N","53778"
"Town Of Erwin, Mulching","SWP860001155","COMPOSTING","Inactive","TOWN OF ERWIN","Industrial Park","Erwin","Unicoi","MAY-24-1995","1254","SWP860001155","36.151289","-82.418747","-","-","COMPOSTING MULCHING YARD WASTE","53501"
"Domermuth Environmental Services, Llc","SWP870001277","PROCESSING","Inactive","DOMERMUTH ENVIRONMENTAL SERVICES, LLC","295 Wolfe Road","Luttrell","Union","JAN-16-1998","1255","SWP870001277","36.200964","-83.785925","-","-","SOIL REMEDIATION PETROLEUM CONTAMINATED","47999"
"Barry Pearsall Landfill","SWP890001006","CLASS III","Inactive","TBD","Warren County","McMinnville","Warren","JAN-01-1985","1256","SWP890001006","35.666667","-85.761111","-","-","CLASS III CLASS 3 WOOD BARK SAWDUST","53779"
"Southern Central Iron And Metal, Llc","SWP890001095","PROCESSING","Active","SOUTHERN CENTRAL IRON AND METAL, LLC","4530 Manchester Highway","McMinnville","Warren","MAY-20-2003","1257","SWP890001095","35.526388","-85.831944","37110","-","RECYCLING CARDBOARD GLASS WOOD","2013"
"Wastaway Services, Llc","SWP890001349","PROCESSING","Inactive","WASTAWAY SERVICES, LLC/BOULDIN CORP.","904 Red Road","McMinnville","Warren","MAY-07-2003","1258","SWP890001349","35.700894","-85.754386","37110","-","-","41747"
"Enviro Technologies  Remediation,  Inc.","SWP900001042","PROCESSING","Inactive","ENVIRO TECHNOLOGIES REMEDIATION, INC","343 Love Street","Johnson City","Washington","MAY-20-1992","1259","SWP900001042","36.311167","-82.360667","-","-","SOIL REMEDIATION","53506"
"Johnson City Air Cur Des (Cash Hollow)","SWP900001124","PROCESSING","Inactive","CITY OF JOHNSON CITY","Cash Hollow Road @ Closed Landfill","Johnson City","Washington","NOV-09-1992","1260","SWP900001124","36.363349","-82.33444","-","-","INCINERATOR ACD WOOD","53780"
"Town Of Jonesborough","SWP900001194","COMPOSTING","Inactive","TOWN OF JONESBOROUGH","So Us 11E, W Persimmon Ridge, Ne Jc","Jonesborough","Washington","FEB-15-1995","1261","SWP900001194","36.286111","-82.505556","-","-","COMPOSTING MULCHING YARD WASTE","53781"
"Town of Jonesborough","SWP900001240","PROCESSING","Active","TOWN OF JONESBOROUGH","101 Britt Drive","Jonesborough","Washington","NOV-11-1997","1262","SWP900001240","36.282902","-82.485233","37659","-","Mulching and collecting recyclables","1823"
"Quest Recycling Inc","SWP900001243","PROCESSING","Inactive","THE CITY OF JOHNSON CITY","329 East Maple Street","Johnson City","Washington","JUN-10-1996","1263","SWP900001243","36.316111","-82.345556","37605","-","TIRES TDF CRUMB RUBBER STEEL","9097"
"Southeast Recycling Technologies Inc","SWP900001285","PROCESSING","Active","Southeast Recycling Technologies, Inc.","906 Chase Drive","Johnson City","Washington","-","1412","SWP900001285","36.353134","-82.403474","37604","-","Universal waste destination facility. Recycling and reclamation of mercury generated from spent mercury containing lamps and bulbs.","8505"
"Polytek Tennessee Inc","SWP900001304","PROCESSING","Inactive","CITY OF JOHNSON CITY","329 East Maple Street","Johnson City","Washington","AUG-16-1999","1264","SWP900001304","36.316111","-82.345556","37605","-","TIRE PROCESSOR; INACTIVE PER GAP 11-20-01 EMAIL","9097"
"Appalachian Environmental Resources, Inc.","SWP900001375","PROCESSING","Active","APPALACHIAN ENVIRONMENTAL RESOURCES, INC.","402 Steel Street (physical address)
","Johnson City","Washington","NOV-01-2004","1265","SWP900001375","36.339315","-82.331538","37601","-","Solid waste processing facility, used oil transporter, used oil transfer facility, universal waste transporter and universal waste small quantity handler","12682"
"Southeastern Tire","SWP940001081","PROCESSING","Inactive","TBD","6959 Cross Keys","College Grove","Williamson","NOV-18-1991","1266","SWP940001081","35.758917","-86.781444","-","-","TIRE PROCESSING","53782"
"Williamson County Materials Recovery Facility","SWP940001086","PROCESSING","Active","WILLIAMSON COUNTY GOVERNMENT","420 Century Ct","Franklin","Williamson","FEB-03-1992","1267","SWP940001086","35.901","-86.8856","37064","-","RECYCLING BALER/MATERIALS SEPARAT'N","7387"
"Williamson Co. Landfill Composting Operation","SWP940001351","PROCESSING","Active","WILLIAMSON COUNTY GOVERNMENT","5750 Pinewood Rd.","Franklin","Williamson","OCT-08-2002","1268","SWP940001351","35.885278","-87.085278","37064","-","COMPOSTING","8730"
"City of Lebanon Compost Facility","SWP950001387","PROCESSING","Active","CITY OF LEBANON","Hartman Dr Interchange & Frontage Rd.","Lebanon","Wilson","DEC-13-2005","1269","SWP950001387","36.179536","-86.316035","-","-","COMPOSTING","47883"
"Oak Ridge Transfer Station","TRF010000129","TRANSFER","Active","WASTE CONNECTIONS OF TENNESSEE, INC.","400 Warehouse Road","Oak Ridge","Anderson","JAN-01-1977","1270","TRF010000129","36.042222","-84.213889","37830","-","-","8749"
"Shelbyville City Transfer Station","TRF020000086","TRANSFER","Active","CITY OF SHELBYVILLE","712 Blue Ribbon Parkway","Shelbyville","Bedford","JAN-01-1985","1271","TRF020000086","35.492972","-86.431139","-","-","PAINT COLLECTION AND RECYCLING","48995"
"Ocoee Environmental Services Inc.","TRF060001291","TRANSFER","Inactive","IESI TENNESSEE CORPORATION DBA OCOEE ENVIRONMENTAL SERVICES INC.","2455 Blue Springs Road","Cleveland","Bradley","MAR-22-1999","1272","TRF060001291","35.151383","-84.89656","-","-","TRANSFER","48996"
"Waste Connections Of Tenn., Inc. Transfer Station","TRF060001368","TRANSFER","Active","WASTE CONNECTIONS OF TENNESSEE, INC.","2455 Blue Springs Road","Cleveland","Bradley","AUG-12-2003","1273","TRF060001368","35.151383","-84.89656","-","-","-","48996"
"Campbell County Transfer Station","TRF070001134","TRANSFER","Active","CAMPBELL COUNTY GOVERNMENT","745 Towe String Road","Jacksboro","Campbell","FEB-25-1993","1274","TRF070001134","36.333329","-84.142825","37757","-","TRANSFER TIRE STORAGE MULCHING ACD","46910"
"Cannon Co. Transfer Station/Tire Storage Facility","TRF080000187","TRANSFER","Active","CANNON COUNTY GOVERNMENT","Fox Industrial Park, Alexander Drive","Woodbury","Cannon","JUL-12-1990","1275","TRF080000187","35.832854","-86.066434","-","-","TRANSFER TIRE STORAGE","48997"
"Republic Services","TRF090001111","TRANSFER","Active","BARKER BROTHERS WASTE, INC.","21686 Hwy 22 Bypass","McKenzie","Carroll","OCT-29-1992","1276","TRF090001111","36.11674","-88.490921","-","-","TRANSFER RECYCLING SEPARATION","48998"
"Carter County Transfer Station","TRF100000127","TRANSFER","Inactive","CARTER COUNTY GOVERNMENT","formerly Swimming Pool Road now Sycamore Shoals Drive","Elizabethton","Carter","JUN-04-1976","1277","TRF100000127","36.352315","-82.251415","-","-","-","53507"
"Carter County Landfill Transfer Station","TRF100001333","TRANSFER","Active","Carter County Government","169 Landfill Road","Elizabethton","Carter","JAN-07-2002","1278","TRF100001333","36.371859","-82.194389","37643","-","-","47984"
"Henderson Transfer Station","TRF120001326","TRANSFER","Active","CHESTER COUNTY GOVERNMENT","315 Talley Store Road","Henderson","Chester","DEC-11-2001","1279","TRF120001326","35.449186","-88.596621","-","-","-","49001"
"Claiborne County Solid Waste Transfer Facility","TRF130001252","TRANSFER","Active","CLAIBORNE COUNTY GOVERNMENT","501 Poore Road","New Tazewell","Claiborne","JUL-24-1996","1280","TRF130001252","36.400833","-83.649444","-","-","""TRANSFER, YARD WASTE, SOIL, MSW MUNICIPAL SOLID WASTE, RECOVERY OF OILS AND REFRIGERANTS""","49002"
"Newport Transfer Station","TRF150000093","TRANSFER","Inactive","TBD","340 Cope Boulevard","Newport","Cocke","JAN-01-1985","1281","TRF150000093","35.9694","-83.2016","-","-","-","54039"
"Cumberland Waste Disposal Transfer Station - Crossville Site","TRF180001330","TRANSFER","Active","WASTE CONNECTIONS OF TENN., INC. DBA CUMBERLAND WASTE DISPOSAL","81 Stevens St","Crossville","Cumberland","OCT-17-2001","1283","TRF180001330","35.949483","-85.023107","38555","-","""CLASS I/II WASTE UNLOADED ONTO WALKING FLOOR TRAILER FOR DISPOSAL TO LANDFILL; BALING OF CARDBOARD, MIXED PLASTIC AND NEWSPRINT RECYCLABLES""","49003"
"Fay Portable Building, Inc. Transfer Station","TRF180001405","TRANSFER","Active","MR. JAN M. FAY, PRESIDENT","4344 Hwy 127 N","Crossville","Cumberland","JUL-02-2007","1284","TRF180001405","36.006668","-85.043677","-","-","-","49004"
"Misty Mountain Resource Recovery, Llc","SWP780001398","PROCESSING","Termination","MISTY MOUNTAIN RESOURCE RECOVERY, LLC","1826 Ridge Road","Pigeon Forge","Sevier","AUG-08-2007","1205","SWP780001398","35.818822","-83.551669","37863","-","-","47705"
"Stericycle, Inc.","SWP790000213","PROCESSING","Active","STERICYCLE, INC.","540 Rivergate Drive","Memphis","Shelby","JUL-12-1990","1206","SWP790000213","35.074678","-90.081397","38109","-","INCINERATOR (MEDICAL) STERILIZATION AUTOCLAVE","27745"
"Mid South Reg Blood Incin","SWP790001025","PROCESSING","Inactive","TBD","Memphis","Memphis","Shelby","OCT-29-1990","1207","SWP790001025","35.139898","-90.026529","-","-","INCINERATOR (MEDICAL)","53785"
"North 2Nd Street Incinerator","SWP790001036","PROCESSING","Active","CITY OF MEMPHIS","2401 North Second Street","Memphis","Shelby","DEC-03-1990","1208","SWP790001036","35.191608","-90.054237","-","-","INCINERATOR ACD/(DEAD ANIMALS)","48978"
"Wood Processing, Inc./Builders Choice","SWP790001038","PROCESSING","Inactive","TBD","5093 Getwell Road","Memphis","Shelby","DEC-10-1990","1209","SWP790001038","35.009885","-89.938256","38118","-","INCINERATOR AIR CURTAIN DESTRUCTOR","39302"
"Bfi North Compost Facility","SWP790001064","COMPOSTING","Inactive","BFI OF TENNESSEE","7111 Old Millington Rd","Millington","Shelby","MAY-15-1991","1210","SWP790001064","35.332324","-89.949405","38053","-","-","8783"
"Bfi Recycling","SWP790001082","PROCESSING","Inactive","BFI OF TENNESSEE, INC.","3840 Homewood Road","Memphis","Shelby","MAR-13-1992","1211","SWP790001082","35.043889","-89.925556","38118","-","RECYCLING BALING/ALL RECYCLABLES","10027"
"Southern Hydrocarbon Inc","SWP790001105","PROCESSING","Inactive","TPS TECHNOLOGIES, INC.","Trigg/Riverside","Memphis","Shelby","JUN-17-1992","1212","SWP790001105","35.11343","-90.075411","38106","-","SOIL REMEDIATION","53786"
"Covenant Envir Technols","SWP790001117","PROCESSING","Inactive","TBD","3003 Harvester Lane","Memphis","Shelby","OCT-08-1992","1213","SWP790001117","35.207251","-90.046841","-","-","TIRES R&D PROCESS TESTING","52583"
"Bellevue Tire Shredder","SWP790001118","PROCESSING","Inactive","CITY OF MEMPHIS","1530 North Bellevue","Memphis","Shelby","OCT-08-1992","1214","SWP790001118","35.180066","-90.013041","-","-","TIRE PROCESSING","53508"
"T R Systems Inc","SWP790001121","PROCESSING","Inactive","TBD","2850 Plant Road","Memphis","Shelby","NOV-13-1992","1215","SWP790001121","35.072316","-90.160642","-","-","TIRES TDF SOIL CONDITIONER","53783"
"City Of Bartlett Compost","SWP790001147","COMPOSTING","Inactive","TBD","6222 Old Brownsville Road","Memphis","Shelby","JUL-06-1993","1216","SWP790001147","35.257278","-89.854139","-","-","COMPOSTING MULCHING","53788"
"Extrusion Technologies","SWP790001156","PROCESSING","Inactive","MR. JAMES DOWNING, PRESIDENT","7430 Moore Road","Memphis","Shelby","OCT-06-1993","1217","SWP790001156","35.128392","-89.814771","-","-","RECYCLING AGRICULTURAL BYPRODUCTS THERMAL PROCESSING","53789"
"Cold Springs Memphis","SWP790001159","PROCESSING","Inactive","TBD","3003 Harvester Lane","Memphis","Shelby","FEB-22-1994","1218","SWP790001159","35.207251","-90.046841","-","-","CONTAMINATED SOIL","52583"
"Earth Complex City of Memphis","SWP790001168","PROCESSING","Active","CITY OF MEMPHIS","2389 Hennington Avenue","Memphis","Shelby","SEP-13-1994","1219","SWP790001168","35.064448","-90.144789","-","-","COMPOSTING WOOD YARD WASTE","47915"
"Naval Support Activity Mid-South","SWP790001174","PROCESSING","Termination","DEPT OF NAVY/NAVAL SUPPORT ACTIVITY MID-SOUTH","5722 Integrity Drive","Millington ","Shelby","MAY-09-1994","1220","SWP790001174","35.332048","-89.879811","38053","-","RECYCLING BALING GLASS METALS","6440"
"Blaylock & Brown Construction","SWP790001178","PROCESSING","Active","BLAYLOCK & BROWN CONSTRUCTION","10636 Shelton Road","Collierville","Shelby","MAY-03-1994","1221","SWP790001178","35.080453","-89.708485","-","-","INCINERATOR AIR CURTAIN DESTRUCTOR","47926"
"Domermuth Environmental Services","SWP790001197","PROCESSING","Inactive","DOMERMUTH ENVIRONM'AL SERVICES","3003 Harvester Lane","Memphis","Shelby","JAN-27-1995","1222","SWP790001197","35.207251","-90.046841","-","-","SOIL BIOREMEDIATION WATER PRODUCT","52583"
"Bfi Of Tn Mulching","SWP790001210","PROCESSING","Inactive","BFI OF TENNESSEE","5494 Malone Road","Memphis","Shelby","JUN-23-1995","1223","SWP790001210","35.001785","-89.909826","38118","-","COMPOSTING WOOD YARD WASTE: LAND CLEARING","8784"
"Nature'S Earth Products","SWP790001226","COMPOSTING","Inactive","MR. E.T. BROWN","10961 Highway 64","Memphis","Shelby","JAN-09-1995","1225","SWP790001226","35.206043","-89.696972","-","-","COMPOSTING MULCHING WOOD YARD WASTE","53790"
"Extrusion Technologies","SWP790001231","COMPOSTING","Inactive","EXTRUSION TECHNOLOGIES, INC.","East Brunswick/Godwin Rd;Sw Deadfal","Memphis","Shelby","FEB-14-1996","1226","SWP790001231","35.342252","-89.737774","-","-","COMPOSTING MULCHING AGRICULTURAL FOOD YARD WASTE","53791"
"J  B Company","SWP790001234","PROCESSING","Inactive","J AND B COMPANY","1753 Thomas Road","Memphis","Shelby","FEB-14-1996","1227","SWP790001234","35.173345","-89.887942","-","-","MULCHING TUB GRINDER","53792"
"Environmental Tire Disposal Llc","SWP790001259","PROCESSING","Inactive","FORD FARMS","North 2nd And Pear","Memphis","Shelby","FEB-25-1997","1228","SWP790001259","35.182222","-90.045278","-","-","TIRE PROCESSOR BALING","53793"
"Tradebe Treatment and Recycling of Tennessee, LLC","SWP790001303","PROCESSING","Inactive","Tradebe Treatment and Recycling of Tennessee, LLC","5485 Victory Lane","Millington","Shelby","AUG-19-1999","1229","SWP790001303","35.276743","-89.943544","38053","-","BULKING COMMERCIAL SOIL WOOD CONSOLIDATION","9360"
"Domermuth Environmental Services Llc","SWP790001305","PROCESSING","Inactive","JAMES DOMERMUTH DBA DOMERMUTH ENVIRONMENTAL SERVICES LLC","1540 Thomas Street","Memphis","Shelby","DEC-17-1999","1230","SWP790001305","35.184979","-90.029821","38107","-","SOIL REMEDIATION PETROLEUM CONTAMINATED","43587"
"Tobacco & Gas Discount, Inc.","SWP790001317","PROCESSING","Inactive","TAYSIR YOUSEF","2389 Summer Avenue","Memphis","Shelby","JAN-11-2001","1231","SWP790001317","35.155556","-89.979444","38112","-","AERATION OF CONTAMINATED SOIL","35656"
"BFI North Shelby Solidification Facility","SWP790001358","PROCESSING","Active","BFI WASTE SYSTEMS OF NORTH AMERICA LLC","7111 Old Millington Rd","Millington","Shelby","MAY-05-2003","1232","SWP790001358","35.332324","-89.949405","38053","-","-","8783"
"City Of Bartlett Solid Waste Complex-Incinerator","SWP790001402","PROCESSING","Active","CITY OF BARTLETT","5250 Shelter Run Lane","Bartlett","Shelby","NOV-21-2006","1233","SWP790001402","35.269486","-89.851877","-","-","-","47908"
"Holston Valley Medical  Disinfection Unit","SWP820001031","PROCESSING","Active","HOLSTON VALLEY HOSPITAL","130 West Ravine Road","Kingsport","Sullivan","FEB-15-1995","1235","SWP820001031","36.559722","-82.555555","37662","-","STERILIZATION ABB SANITEC MICROWAVE MEDICAL INCINERATOR","7055"
"Appalachian Oil Company,  Inc.","SWP820001041","PROCESSING","Inactive","APPALACHIAN OIL COMPANY, INC.","1992 Hwy 75","Blountville","Sullivan","DEC-18-1990","1236","SWP820001041","36.498056","-82.403056","37617","-","SOIL REMEDIATION","7900"
"Waste Management Recycle America","SWP820001104","PROCESSING","Inactive","WASTE MANAGEMENT","1821 Jared Drive","Kingsport","Sullivan","JUN-15-1992","1237","SWP820001104","36.511609","-82.547004","37660","-","RECYCLING PAPER PLASTIC GLASS","7971"
"Superior Mulch, Llc","SWP820001158","PROCESSING","Active","SUPERIOR MULCH, LLC","918 Buttermilk Road","Blountville","Sullivan","NOV-03-1993","1238","SWP820001158","36.510662","-82.454007","37617","-","COMPOSTING LANDSCAPING/LANDCLEARING WOOD YARD WASTE","47905"
