"textbox2,textbox17,SiteName,LocAddr,SiteID,OperAddr,LocAddrCounty,FacContact,OperCompanyName,OpContact,DispAreaNumber,DispAreaTypeDescr,DispAreaStatusTypeDescr"
"All Solid Waste Disposal Areas Report,426309 - RESOURCE RECOVERY OF BURTON,RESOURCE RECOVERY OF BURTON,""3376 ASSOCIATES DR, BURTON, MI"",MIG000057562,""3376 ASSOCIATES DR, BURTON, MI"",GENESEE,JONNIE MOORE - (810) 397-5239,,JONNIE MOORE - (810) 397-5239,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470533 - RESOURCE RECOVERY OF FLINT INC,RESOURCE RECOVERY OF FLINT INC,""5125 N DORT HWY, FLINT, MI"",,""5125 N DORT HWY, FLINT, MI"",GENESEE,JOHN MOORE - (810) 397-5239,""RESOURCE RECOVERY OF FLINT, INC."",JOHN MOORE - (810) 397-5239,1),Solid Waste Processing Plant,Active - Closing"
"All Solid Waste Disposal Areas Report,470533 - RESOURCE RECOVERY OF FLINT INC,RESOURCE RECOVERY OF FLINT INC,""5125 N DORT HWY, FLINT, MI"",,""5125 N DORT HWY, FLINT, MI"",GENESEE,JOHN MOORE - (810) 397-5239,""RESOURCE RECOVERY OF FLINT, INC."",JOHN MOORE - (810) 397-5239,2),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470534 - RICHFIELD LANDFILL INC,RICHFIELD LANDFILL INC,""11145 E MOUNT MORRIS RD, DAVISON, MI"",,""322 OLD WOODWARD, BIRMINGHAM, MI"",GENESEE,BERNIE RUMBOLD - (810) 252-5102,""RICHFIELD LANDFILL, INC."",FRED HAMBLETON - (248) 647-0930,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,492162 - RICHMOND TOWNSHIP TRANSFER STATION,RICHMOND TOWNSHIP TRANSFER STATION,""4194 200TH AVENUE, REED CITY, MI"",,""3371 220TH AVENUE, REED CITY, MI"",OSCEOLA,DAVE NEHMER - (231) 832-5785,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470540 - RICHMOND TRANSFER STATION LLC,RICHMOND TRANSFER STATION,""643 RICHMOND ST NW, GRAND RAPIDS, MI"",,""675 RICHMOND ST NW, GRAND RAPIDS, MI"",KENT,ANDREW VREDENBURG - (676) 363-4895,RICHMOND TRANSFER STATION,(no contact) - (no phone),1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,491712 - RIDGE ROAD (QUINCY) TRANSFER STATION,RIDGE ROAD (QUINCY) TRANSFER STATION,""301 RIDGE ROAD, QUINCY, MI"",,""47 COLE STREET, QUINCY, MI"",BRANCH,(no contact) - (no phone),VILLAGE OF QUINCY,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,392848 - RIVER REACH PARTNERS LLC,RIVER REACH PARTNERS LLC,""100 ISLAND AVE, PARCHMENT, MI"",MIK724462163,""1821 BLAKE STREET, SUITE 3C, DENVER, CO"",KALAMAZOO,(no contact) - (no phone),,ELIZABETH HOWARD - (616) 384-6514,1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,407026 - RIVERSIDE SAND & GRAVEL LANDFILL,RIVERSIDE SAND & GRAVEL LANDFILL,""1050 MAYNARD AVE SW, GRAND RAPIDS, MI"",MID985640226,""1050 MAYNARD AVE SW, GRAND RAPIDS, MI"",KENT,ARNIE BORDEWYK - (616) 453-2435,,(no contact) - (no phone),1),Type III C&D Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,491683 - RIVES TOWNSHIP TRANSFER STATION,RIVES TOWNSHIP TRANSFER STATION,""10123 STATE ROAD, RIVES JUNCTION, MI"",,""8427 RIVES JUNCTION ROAD, RIVES JUNCTION, MI"",JACKSON,STACY STONER - (517) 569-2288,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491682 - ROLLIN  TOWNSHIP TRANSFER STATION,ROLLIN TOWNSHIP TRANSFER STATION,""2089 N ROLLIN HIGHWAY, HUDSON, MI"",,""P.O. BOX 296, MANITOU BEACH, MI"",LENAWEE,JOHN JENKINS - (517) 547-7786,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,476207 - ROSE TOWNSHIP TRANSFER STATION,ROSE TOWNSHIP TRANSFER STATION,""HEATH RD, SECTION 32, ROSE TOWNSHIP, LUPTON, MI"",,""PO BOX 38, LUPTON, MI"",OGEMAW,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,491710 - SALEM TOWNSHIP TRANSFER STATION,SALEM TOWNSHIP TRANSFER STATION,""2948 142 ND AVENUE, DORR, MI"",,""2948 142 ND AVENUE, DORR, MI"",ALLEGAN,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,410118 - SAUK TRAIL DEVELOPMENT INC,SAUK TRAIL HILLS LANDFILL,""5011 S LILLEY, CANTON, MI"",MIR000009027,""5011 S LILLEY RD, CANTON, MI"",WAYNE,CHRISTINA PEARSE-BOSSICK - (734) 397-4523,,JOHN STARK - (734) 397-2790,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470466 - SC HOLDING INC,KENS LANDFILL,""5111 CEDAR RUN RD, TRAVERSE CITY, MI"",MIK855951646,""700 56TH AVE, ZEELAND, MI"",GRAND TRAVERSE,DEB JOHNSTON - (231) 539-6111,WASTE MANAGEMENT INC,DAVE BARRON - (231) 228-6725,1),Type III C&D Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,491701 - SCIPIO TOWNSHIP TRANSFER STATION,SCIPIO TOWNSHIP TRANSFER STATION,""1200 EAST STERLING ROAD, JONESVILLE, MI"",,""1200 EAST STERLING ROAD, JONESVILLE, MI"",HILLSDALE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,399633 - SEYMOUR ROAD LANDFILL,SEYMOUR ROAD LANDFILL,""13164 SEYMOUR RD, MONTROSE, MI"",MID981188493,""3400 E LAFAYETTE ST, DETROIT, MI"",GENESEE,JAMES FORNEY - (248) 386-4227,,MIKE ZULTOWSKI - (248) 386-4239,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,474079 - SHORT'S LANDFILL,SHORT'S LANDFILL,""5330 TOWN HALL RD, HALE, MI"",,""2900 E ROSE CITY RD, LUPTON, MI"",OGEMAW,(no contact) - (no phone),,(no contact) - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,466058 - SIMS-WHITNEY TOWNSHIP TRANSFER STATION,SIMS-WHITNEY TOWNSHIP TRANSFER STATION,""BESSINGER RD, SECTION 35, WHITNEY TOWNSHIP, AU GRES, MI"",,""PO BOX 868, AU GRES, MI"",ARENAC,DON BECKER - (989) 362-8441,SIMS TOWNSHIP CLERK,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,474286 - SKANDIA WEST BRANCH TRANSFER FACITITY,SKANDIA WEST BRANCH TRANSFER FACITITY,""159 HOLME RD, SKANDIA, MI"",MIK682591417,""PO BOX 48, SKANDIA, MI"",MARQUETTE,(no contact) - (no phone),SKANDIA TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470551 - SKANDIA-WEST BRANCH TOWNSHIPS,SKANDIA-WEST BRANCH TRANSFER STATION,""COUNTY ROAD PO WEST OF US41-M28, SKANDIA, MI"",,""224 KRIEGER DR, SKANDIA, MI"",MARQUETTE,EARL ROBINSON - (906) 942-7404,SKANDIA-WEST BRANCH TRANSFER STATION,EARL ROBINSON - (906) 942-7339,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,494403 - Smith Sanitation  ,Clark Township Transfer Station,""100 Mission Trail, Cedarville, MI"",,""3239 W M28, BRIMLEY, MI"",MACKINAC,(no contact) - (no phone),Smith Sanitation,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,439110 - SOCRRA TROY,SOCRRA TROY TRANSFER STATION,""991 COOLIDGE HWY, TROY, MI"",MIG000048497,""3910 W WEBSTER RD, ROYAL OAK, MI"",OAKLAND,MICHAEL CZUPRENSKI - (248) 228-5150,,JEFFREY MCKEEN - (248) 288-5150,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,466333 - SOUTH BRANCH TWP TS (MCMASTERS BRIDGE),SOUTH BRANCH TWP TS (MCMASTERS BRIDGE),""PO BOX 606, ROSCOMMON, MI"",,""5245 N M-18,PO BOX 606, ROSCOMMON, MI"",ROSCOMMON,(no contact) - (no phone),SOUTH BRANCH TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466117 - SOUTH BRANCH TWP TS (PIONEER ROAD),SOUTH BRANCH TWP TS (PIONEER ROAD),""PIONEER RD, ROSCOMMON, MI"",,""5245 N M-18, PO BOX 606, ROSCOMMON, MI"",ROSCOMMON,(no contact) - (no phone),SOUTH BRANCH TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470506 - SOUTH MACOMB DISPOSAL AUTHORITY,SOUTH MACOMB DISPOSAL AUTHORITY TRANSFER STATION,""28315 GROESBECK HWY, ROSEVILLE, MI"",,""20001 PLEASANT ST, SAINT CLAIR SHORES, MI"",MACOMB,MARIE TIGHE - (586) 777-1284,SOUTH MACOMB DISPOSAL AUTHORITY TRANSFER STATION,MARIE TIGHE - (586) 777-1284,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470501 - SOUTH MACOMB DISPOSAL AUTHORITY (SMDA),SMDA 11,""SW CORNER OF 31 MILE & MOUND ROADS, WASHINGTON TOWNSHIP, MI"",,""20001 PLEASANT ST, SAINT CLAIR SHORES, MI"",MACOMB,NOT OBTAINED NOT OBTAINED - (no phone),SMDA 11,MARY RIVARD - (810) 777-1284,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,458632 - SOUTHEAST BERRIEN COUNTY LANDFILL AUTHORITY,SOUTHEAST BERRIEN COUNTY LANDFILL,""3200 CHAMBERLAIN RD, BUCHANAN, MI"",MIG000003832,""1540 MAYFLOWER RD, NILES, MI"",BERRIEN,SONNY FULLER - (269) 695-2500,,SONNY FULLER - (616) 695-2500,1),Type II MSW Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,470503 - SOUTHEASTERN OAKLAND COUNTY,SOCRRA MADISON HEIGHTS TRANSFER STATION,""29470 JOHN R RD, MADISON HEIGHTS, MI"",,""3910 W WEBSTER RD, ROYAL OAK, MI"",OAKLAND,MIKE CZUPRENSKI - (248) 288-5150,SOCRRA MADISON HEIGHTS TRANSFER STATION,THOMAS WAFFEN - (248) 288-5150,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,453392 - SOUTHEASTERN OAKLAND COUNTY (SOCCRA),SOUTHEASTERN OAKLAND COUNTY (SOCCRA),""1741 SCHOOL RD, ROCHESTER HILLS, MI"",MIG000019566,""3910 W WEBSTER RD, ROYAL OAK, MI"",OAKLAND,MIKE CZUPRENSKI - (248) 867-7791,,MIKE CZUPRENSKI - (248) 288-5150,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,396814 - ST MARYS CEMENT INC,ST MARYS CEMENT INC,""16000 BELLS BAY RD, CHARLEVOIX, MI"",MID065846032,""PO BOX 367, CHARLEVOIX, MI"",CHARLEVOIX,CORTNEY SCHMIDT - (231) 547-9971,,CORTNEY SCHMIDT - (231) 237-1342,1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,438977 - STANDARD ENVIRONMENTAL SERVICE INC,ALLIED WASTE INDUSTRIES ROCKWOOD LANDFILL,""9450 US TURNPIKE RD, NEWPORT, MI"",MIK123832529,""9450 US TURNPIKE RD, NEWPORT, MI"",MONROE,GLEN GOESTENKORS - (734) 379-0774,,WILLIAM MCDONOUGH - (734) 397-2790,1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,438977 - STANDARD ENVIRONMENTAL SERVICE INC,ALLIED WASTE INDUSTRIES ROCKWOOD LANDFILL,""9450 US TURNPIKE RD, NEWPORT, MI"",MIK123832529,""9450 US TURNPIKE RD, NEWPORT, MI"",MONROE,GLEN GOESTENKORS - (734) 379-0774,,WILLIAM MCDONOUGH - (734) 397-2790,2),Type III C&D Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,422368 - STEVENS DISPOSAL AND RECYCLING INC,STEVENS DISPOSAL AND RECYCLING INC,""16929 IDA WEST RD, PETERSBURG, MI"",MIG000061262,""16929 IDA WEST RD, PETERSBURG, MI"",MONROE,(no contact) - (no phone),,TIM BELL - (734) 856-8451,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,422368 - STEVENS DISPOSAL AND RECYCLING INC,STEVENS DISPOSAL AND RECYCLING INC,""16929 IDA WEST RD, PETERSBURG, MI"",MIG000061262,""16929 IDA WEST RD, PETERSBURG, MI"",MONROE,(no contact) - (no phone),,TIM BELL - (734) 856-8451,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,470509 - SUGAR CREEK COMPANIES INCORPORATED,VULCAN MOLD & IRON COMPANY,""FORT STREET, TRENTON, MI"",,""PO BOX 251, ROCKWOOD, MI"",WAYNE,ROBERT DULLINGER - (no phone),VULCAN MOLD & IRON COMPANY,RAY KELLAS - (313) 455-2789,1),Type III Industrial Waste Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,466660 - SUMMERFIELD TOWNSHIP TRANSFER STATION,SUMMERFIELD TOWNSHIP TRANSFER STATION,""FINLEY LAKE AVE, SECTION 15, SUMMERFIELD TWP., HARRISON, MI"",,""9971 N. FINLEY LAKE ROAD, HARRISON, MI"",CLARE,BRICE BOND - (989) 539-2501,SUMMERFIELD TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,397966 - SUNRISE DISPOSAL SERVICES INC,SUNRISE DISPOSAL,""4775 SUNSET ROAD, OSCODA, MI"",MID095950143,""4775 SUNSET ROAD, OSCODA, MI"",IOSCO,BRIAN HAGER - (989) 739-6400,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466047 - SURREY TOWNSHIP TRANSFER STATION,SURREY TOWNSHIP TRANSFER STATION,""OLD STATE RD, SECTION 12, SURREY TWP., FARWELL, MI"",,""PO BOX 647, FARWELL, MI"",CLARE,RUSS HAMILTON - (989) 588-9571,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,418512 - SWD SPECIALTIES LLC,SWD SPECIALTIES LLC SOLID WASTE PROCESSING PLANT,""650 M 66, HOGERHEIDE 1-29 SWD, KALKASKA, MI"",MIG000057324,""PO BOX 1030, KALKASKA, MI"",KALKASKA,(no contact) - (no phone),,SHAWN HUMPHREY - (231) 258-6026,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,418512 - SWD SPECIALTIES LLC,SWD SPECIALTIES LLC SOLID WASTE PROCESSING PLANT,""650 M 66, HOGERHEIDE 1-29 SWD, KALKASKA, MI"",MIG000057324,""PO BOX 1030, KALKASKA, MI"",KALKASKA,(no contact) - (no phone),,SHAWN HUMPHREY - (231) 258-6026,2),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,396970 - TAY-BAN CORPORATION,TAYMOUTH LANDFILL,""4553 E RATHBUN RD, BIRCH RUN, MI"",MID069650836,""2401 East Whitefeather Road, Pinconning, MI"",SAGINAW,Jeff Tucker - (989) 879-2700,,JEFF TUCKER - (989) 879-2700,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,465694 - TAYLOR HILLS COMPOST REFUSE COLLECTION FACILITY,TAYLOR HILLS COMPOST REFUSE COLLECTION FACILITY,""16300 RACHO BLVD, TAYLOR, MI"",,""16300 RACHO BLVD, TAYLOR, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,449406 - TAYLOR RECYCLING INC,TAYLOR RECYCLING INC,""8767 HOLLAND RD, TAYLOR, MI"",MIG000027332,""8767 HOLLAND RD, TAYLOR, MI"",WAYNE,EDWIN HUDICK - (313) 291-7410,,EDWIN HUDICK - (313) 291-7410,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,484466 - TECHNI-COMP INC,TECHNI-COMP COMPOST FACILITY,""4152 DOVE RD, PORT HURON, MI"",,""PO BOX 611666, PORT HURON, MI"",ST CLAIR,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,399133 - THE DOW CHEMICAL COMPANY,DOW CHEMICAL COMPANY-SALZBURG LANDFILL,""2314 SALZBURG RD, MIDLAND, MI"",MID980617435,""1561 TRAILER/OFFICE 27, ENVIRONMENTAL OPERATIONS, MIDLAND, MI"",MIDLAND,PAUL DEAN - (989) 636-2646,,PAUL DEAN - (989) 636-2646,1),Type III Industrial Waste Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,465794 - TOWNSHIP OF BARRY,BARRY TOWNSHIP,""Osborne Rd, CITY, MI"",,""Osborne Rd, CITY, MI"",,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,451194 - TOWNSHIP OF GARDEN,GARDEN TOWNSHIP,""15694 18.5 LN, GARDEN, MI"",MIG000023674,""15694 18.5 LN, GARDEN, MI"",DELTA,RICHARD SHAVE - (906) 644-2335,,RICHARD SHAVE - (906) 644-2335,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,480639 - TOWNSHIP OF JEFFERSON,JEFFERSON TOWNSHIP TRANSFER STATION,""3255 PIONEER RD, OSSEO, MI"",,""PO BOX 31, OSSEO, MI"",HILLSDALE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,478298 - TOWNSHIP OF KOEHLER TRANSFER FACILITY,TOWNSHIP OF KOEHLER TRANSFER FACILITY,""SECTION 21, T35N, R2W, CHEBOYGAN, MI"",,""3539 CARTER ROAD S, AFTON, MI"",CHEBOYGAN,(no contact) - (no phone),KOEHLER TOWNSHIP,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470547 - TOWNSHIP OF MENOMINEE,MENOMINEE INGALLSON TOWNSHIP TRANSFER STATION,""ROUTE 1, WALLACE, MI"",,""W5941 NUMBER 6.5 LANE, MENOMINEE, MI"",MENOMINEE,ROY RASNER - (906) 863-9031,MENOMINEE INGALLSON TOWNSHIP TRANSFER STATION,MARY MAAS - (906) 863-9031,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470550 - TOWNSHIP OF RICHMOND,RICHMOND TOWNSHIP LANDFILL,""COUNTY ROAD 565, PALMER, MI"",,""PO BOX 35, PALMER, MI"",MARQUETTE,WILLIAM PIETILA - (906) 475-4180,RICHMOND TOWNSHIP LANDFILL,WILLIAM PIETILA - (906) 475-4180,1),Type II MSW Landfill,Active - Closing"
"All Solid Waste Disposal Areas Report,485024 - TOWNSHIP OF SANDS,SANDS TOWNSHIP TRANSFER STATION,""75 FLODIN RD, GWINN, MI"",,""987 SOUTH M-553, GWINN, MI"",MARQUETTE,(no contact) - (no phone),,EARL YELLE - (906) 249-9169,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470552 - TOWNSHIP OF WHITEFISH,WHITEFISH TOWNSHIP TRANSFER STATION,""M 123, PARADISE, MI"",,""PO BOX 350, PARADISE, MI"",CHIPPEWA,RICHARD WINKLER - (906) 492-3452,WHITEFISH TOWNSHIP TRANSFER STATION,RICHARD WINKLER - (906) 492-3452,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466430 - TRAVIS SANITATION,TRAVIS SANITATION,""3522 KINGS CORNER RD, OSCODA, MI"",,""PO BOX 377, OSCODA, MI"",IOSCO,HERBERT TRAVIS - (989) 739-5244,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466470 - TURIN TOWNSHIP TRANSFER FACILITY,TURIN TOWNSHIP TRANSFER FACILITY,""2499 COUNTY RD 444(M-35), ROCK, MI"",,""2499 Cty Rd 444(M-35), ROCK, MI"",DELTA,MICHAEL CONNORS - (906) 356-6355,,MICHAEL CONNORS - (906) 356-6355,1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,470400 - US DEPT/AGRICULTURE-FOREST SERVICE,DUNCAN TOWNSHIP SANITARY LANDFILL,""M 28, BETWEEN SIDNAW AND KENTON, SIDNAW, MI"",,""E6248 US HIGHWAY 2, IRONWOOD, MI"",HOUGHTON,ERIC JOHNSONL - (906) 852-3500,USFS,RONALD HALLIGAN - (906) 355-2365,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,411781 - US DEPT/AGRICULTURE-FOREST SERVICE,MUNISING LANDFILL,""H 13 1&1/2 MI S OF M 28, MUNISING, MI"",MIR000026245,""2727 N LINCOLN RD, ESCANABA, MI"",ALGER,(no contact) - (no phone),US FOREST SERVICE,(no contact) - (no phone),1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,397151 - US ECOLOGY MICHIGAN INC,US ECOLOGY MICHIGAN,""6520 GEORGIA ST, DETROIT, MI"",MID074259565,""6520 GEORGIA ST, DETROIT, MI"",WAYNE,(no contact) - (no phone),,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,391215 - VEOLIA ES SOLID WASTE MIDWEST INC,VEOLIA ES SOLID WASTE MIDWEST INC,""10833 5 MILE RD, NORTHVILLE, MI"",MI0000565184,""10833 5 MILE RD, NORTHVILLE, MI"",WASHTENAW,THOMAS FLANNAGAN - (248) 412-0684,,(no contact) - (no phone),1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,403379 - VEOLIA ES SOLID WASTE MIDWEST INC,SCHAEFER ROAD TRANSFER STATION,""3051 SCHAEFER RD, DEARBORN, MI"",MID985585611,""3051 SCHAEFER RD, DEARBORN, MI"",WAYNE,GARY DOBBS - (248) 305-2613,,GARY DOBBS - (248) 305-2613,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,474294 - VERSO QUINNESEC LLC,VERSO PAPER CORP,""W6582 US HIGHWAY 2, NORWAY, MI"",MIK724734132,""PO BOX 191, NORWAY, MI"",DICKINSON,JEFF maule - (906) 779-3370,,(no contact) - (no phone),1),Type III Low Hazardous Waste Landfill,Active - Accepting"
"All Solid Waste Disposal Areas Report,411750 - VILLAGE OF CHELSEA,VILLAGE OF CHELSEA TRANSFER STATION,""8027 WERKNER RD, CHELSEA, MI"",MIR000025767,""8027 WERKNER RD, CHELSEA, MI"",WASHTENAW,JOHN ELLIOTT - (734) 475-7955,,JOHN ELLIOTT - (734) 475-8655,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,411750 - VILLAGE OF CHELSEA,VILLAGE OF CHELSEA TRANSFER STATION,""8027 WERKNER RD, CHELSEA, MI"",MIR000025767,""8027 WERKNER RD, CHELSEA, MI"",WASHTENAW,JOHN ELLIOTT - (734) 475-7955,,JOHN ELLIOTT - (734) 475-8655,2),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,466754 - WALKER TOWNSHIP TRANSFER STATION,WALKER TOWNSHIP TRANSFER STATION,""945 WALKER RD, AFTON, MI"",,""6222 MONTGOMERY ROAD, AFTON, MI"",CHEBOYGAN,BRENDA DUBOIS - (231) 238-4951,,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,437820 - WASTE MANAGEMENT,MUSKEGON COUNTY LF AUTHORITY TRANSFER STATION,""107 S QUARTERLINE RD, MUSKEGON, MI"",MIG000051193,""1668 PORTER ST SW, GRAND RAPIDS, MI"",MUSKEGON,STEVE ESSLING - (616) 945-2260,MR. RANDALL DOZEMAN,BEN DYKSTRA - (616) 538-1921,1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,450388 - WASTE MANAGEMENT INC,INGHAM COUNTY TRANSFER STATION,""2450 GRAND RIVER RD, WILLIAMSTON, MI"",MIG000025445,""2450 GRAND RIVER RD, WILLIAMSTON, MI"",INGHAM,(no contact) - (no phone),,JEFF WILSON - (313) 215-8088,1),Solid Waste Processing Plant,Active - Accepting"
"All Solid Waste Disposal Areas Report,450388 - WASTE MANAGEMENT INC,INGHAM COUNTY TRANSFER STATION,""2450 GRAND RIVER RD, WILLIAMSTON, MI"",MIG000025445,""2450 GRAND RIVER RD, WILLIAMSTON, MI"",INGHAM,(no contact) - (no phone),,JEFF WILSON - (313) 215-8088,2),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,481047 - WASTE MANAGEMENT MATERIAL RECOVERY FACILTIY,WASTE MANAGEMENT MATERIAL RECOVERY FACILITY,""2294 CASS RD, TRAVERSE CITY, MI"",,""2294 CASS RD, TRAVERSE CITY, MI"",GRAND TRAVERSE,(no contact) - (no phone),JASON A PANEK,(no contact) - (no phone),1),Solid Waste Transfer Facility - Exempt,Active - Accepting"
"All Solid Waste Disposal Areas Report,475780 - WASTE MANAGEMENT OF MI INC,NEWBERRY TRANSFER STATION,""7311 COUNTY ROAD 391, NEWBERRY, MI"",,""711 W SPRUCE ST, SAULT SAINTE MARIE, MI"",LUCE,DARYL PROULX - (906) 635-5971,,(no contact) - (no phone),1),Solid Waste Transfer Facility,Active - Accepting"
"All Solid Waste Disposal Areas Report,447988 - WASTE MANAGEMENT OF MI INC,CEDAR RIDGE RECYCLING & DISPOSAL LANDFILL,""11633 SAUNDERS RD, EAST JORDAN, MI"",MIG000029441,""700 56TH AVE, ZEELAND, MI"",CHARLEVOIX,DEBORA JOHNSTON - (989) 539-6111,,JAMES PALMER - (989) 732-3553,1),Type II MSW Landfill,Post-Closure"
"All Solid Waste Disposal Areas Report,447988 - WASTE MANAGEMENT OF MI INC,CEDAR RIDGE RECYCLING & DISPOSAL LANDFILL,""11633 SAUNDERS RD, EAST JORDAN, MI"",MIG000029441,""700 56TH AVE, ZEELAND, MI"",CHARLEVOIX,DEBORA JOHNSTON - (989) 539-6111,,JAMES PALMER - (989) 732-3553,2),Solid Waste Transfer Facility,Beyond Post-Closure"
